,Emmaton,Jersey Point,Collinsville,Rock Slough,Antioch,Mallard,LosVaqueros,Martinez,MiddleRiver,Vict Intake,CVP Intake,CCFB_OldR
1940-04-26,181.76487731933594,227.42559814453125,195.01763916015625,301.76629638671875,223.55934143066406,210.3805694580078,351.54248046875,3343.515380859375,386.0997314453125,344.3131103515625,338.6318359375,326.561279296875
1940-04-27,181.75238037109375,228.65174865722656,194.37461853027344,303.05291748046875,226.31777954101562,203.63040161132812,345.5732421875,2934.867431640625,379.3466491699219,341.1642150878906,330.7850341796875,325.4578552246094
1940-04-28,182.25914001464844,230.84732055664062,194.5924835205078,304.2171630859375,227.18399047851562,202.01705932617188,344.2973327636719,2625.8310546875,376.7720642089844,338.76849365234375,337.8588562011719,330.48333740234375
1940-04-29,181.99136352539062,232.143310546875,194.30532836914062,304.1462097167969,227.60816955566406,201.5624542236328,343.7337341308594,2297.03662109375,374.6463317871094,336.8773498535156,355.1029052734375,335.40826416015625
1940-04-30,181.70298767089844,233.3462371826172,193.73524475097656,304.4239196777344,229.7600555419922,201.1573486328125,349.26251220703125,2198.665283203125,376.3104553222656,339.2611999511719,357.549560546875,333.46112060546875
1940-05-01,183.1089324951172,234.08445739746094,194.36105346679688,304.4476318359375,229.6317596435547,201.87307739257812,354.8173828125,2541.39990234375,380.4723205566406,344.00439453125,354.9735107421875,330.98583984375
1940-05-02,185.54066467285156,234.0952911376953,195.77957153320312,302.9643859863281,229.04808044433594,205.53436279296875,355.9615173339844,3387.457763671875,383.8746032714844,347.07049560546875,359.45391845703125,332.22210693359375
1940-05-03,187.90040588378906,233.94395446777344,197.68968200683594,300.9494934082031,229.36065673828125,216.00401306152344,355.3594970703125,4459.20947265625,386.7373352050781,348.8312072753906,360.5958557128906,332.31793212890625
1940-05-04,189.9563751220703,233.71798706054688,201.57858276367188,298.6162414550781,229.52627563476562,241.1317901611328,354.33843994140625,5437.923828125,388.02667236328125,348.92938232421875,356.3946533203125,341.614990234375
1940-05-05,191.0518341064453,233.5498046875,204.64459228515625,297.8509826660156,230.68536376953125,259.1353759765625,354.69171142578125,6448.501953125,386.1961364746094,346.70672607421875,358.87921142578125,345.038330078125
1940-05-06,192.1546173095703,233.5909881591797,208.71646118164062,297.18243408203125,230.61447143554688,293.7615966796875,358.15716552734375,7525.5615234375,384.65582275390625,347.0561828613281,360.03814697265625,345.7026672363281
1940-05-07,193.31141662597656,233.50979614257812,213.939453125,296.0053405761719,230.34951782226562,349.1172180175781,361.6930847167969,8486.0048828125,384.4974670410156,349.2381896972656,361.9025573730469,346.81951904296875
1940-05-08,194.287353515625,233.516845703125,219.8160400390625,295.4676818847656,230.73538208007812,408.8141174316406,364.7595520019531,9199.5947265625,385.2553405761719,351.81439208984375,363.4779968261719,347.8238830566406
1940-05-09,195.49607849121094,233.4882049560547,230.42196655273438,294.35107421875,231.58041381835938,507.687744140625,368.4123840332031,9933.8173828125,387.6700744628906,355.0970458984375,364.395263671875,348.7872314453125
1940-05-10,196.1796112060547,233.27606201171875,238.98426818847656,294.194091796875,233.51934814453125,584.1397705078125,370.7130432128906,10315.1943359375,390.0022888183594,357.7098083496094,365.28363037109375,349.5953369140625
1940-05-11,196.12118530273438,233.00369262695312,240.1981201171875,295.53375244140625,235.37754821777344,595.6624755859375,370.7468566894531,10333.95703125,391.1368713378906,358.8876647949219,366.0491638183594,349.9322814941406
1940-05-12,195.6422119140625,232.89710998535156,236.75279235839844,298.0788879394531,236.1465301513672,583.53466796875,369.5784606933594,10184.2353515625,391.38653564453125,359.0745544433594,365.5501403808594,349.68328857421875
1940-05-13,195.2431182861328,232.86376953125,235.0271759033203,300.5861511230469,236.70909118652344,583.1614379882812,369.4761962890625,9794.1171875,391.92938232421875,359.3074645996094,364.94329833984375,349.23638916015625
